Ognoo,Iteminfid,Uldegdel
2022-06-04,150930603566800001,14.00
2022-06-04,151229506383600001,34.00
2022-06-04,151229527874800001,0.00
2022-06-04,160121610393900001,0.00
2022-06-04,160513343594000001,20.00
2022-06-04,160826685080700001,457.00
2022-06-04,170407678293400001,27.00
2022-06-04,170428381482200001,271.00
2022-06-04,171030000763800001,-1.00
2022-06-04,180213012331300001,917.00
2022-06-04,180327043373200005,29.00
2022-06-04,180604114334600001,142.00
2022-06-04,180604114351700001,101.00
2022-06-04,180604114383000001,1415.00
2022-06-04,180704149959400001,52.00
2022-06-04,180706153232200002,244.00
2022-06-04,180706153232200003,242.00
2022-06-04,180706153232200005,106.00
2022-06-04,180920233009700325,-46.00
2022-06-04,190603577080600001,5.00
2022-06-04,190909745530500004,584.00
2022-06-04,199009170000000056,191.00
2022-06-04,200813226771700001,590.00
2022-06-04,200826241374700001,1.00
2022-06-04,201104060000000029,74.00
2022-06-04,201205090000000004,863.00
2022-06-04,201207090000000130,5.00
2022-06-04,210327509663500011,74.00
2022-06-04,211116153741172477,62.00
2022-06-04,220406222153830970,35.00
2022-06-05,2007121328749,9.00
2022-06-05,2007121328895,142.00
2022-06-05,2007121329180,513.00
2022-06-05,2007121329377,243.00
2022-06-05,2007121329379,0.00
2022-06-05,2007121329380,241.00
2022-06-05,2007121329381,241.00
2022-06-05,2007121331288,24.00
2022-06-05,2007121332656,8.00
2022-06-05,2007121332659,21.00
2022-06-05,2007121334813,31.00
2022-06-05,120620429994600001,0.00
2022-06-05,120620429994600002,0.00
2022-06-05,120620429994600013,0.00
2022-06-05,120620429994600026,0.00
2022-06-05,140224536726700000,0.00
2022-06-05,150203456119500001,1.00
2022-06-05,150930603566800001,-3.00
2022-06-05,151229506383600001,33.00
2022-06-05,151229527874800001,0.00
2022-06-05,160121610393900001,0.00
2022-06-05,160513343594000001,20.00
2022-06-05,160826685080700001,445.00
2022-06-05,170407678293400001,26.00
2022-06-05,170428381482200001,270.00
2022-06-05,171030000763800001,-1.00
2022-06-05,180213012331300001,730.00
2022-06-05,180327043373200005,29.00
2022-06-05,180604114334600001,134.00
2022-06-05,180604114351700001,99.00
2022-06-05,180604114383000001,1352.00
2022-06-05,180704149959400001,43.00
2022-06-05,180706153232200002,238.00
2022-06-05,180706153232200003,238.00
2022-06-05,180706153232200005,106.00
2022-06-05,180920233009700325,0.00
2022-06-05,190603577080600001,5.00
2022-06-05,190909745530500004,580.00
2022-06-05,199009170000000056,183.00
2022-06-05,200813226771700001,585.00
2022-06-05,200826241374700001,1.00
2022-06-05,201104060000000029,100.00
2022-06-05,201205090000000004,859.00
2022-06-05,201207090000000130,5.00
2022-06-05,210327509663500011,73.00
2022-06-05,211116153741172477,0.00
2022-06-05,220406222153830970,35.00
2022-06-06,2007121328749,9.00
2022-06-06,2007121328895,105.00
2022-06-06,2007121329180,478.00
2022-06-06,2007121329377,159.00
2022-06-06,2007121329379,0.00
2022-06-06,2007121329380,225.00
2022-06-06,2007121329381,236.00
2022-06-06,2007121331288,12.00
2022-06-06,2007121332656,16.00
2022-06-06,2007121332659,13.00
2022-06-06,2007121334813,19.00
2022-06-06,120620429994600001,0.00
2022-06-06,120620429994600002,0.00
2022-06-06,120620429994600013,0.00
2022-06-06,120620429994600026,0.00
2022-06-06,140224536726700000,0.00
2022-06-06,150203456119500001,1.00
2022-06-06,150930603566800001,-4.00
2022-06-06,151229506383600001,33.00
2022-06-06,151229527874800001,0.00
2022-06-06,160121610393900001,0.00
2022-06-06,160513343594000001,20.00
2022-06-06,160826685080700001,434.00
2022-06-06,170407678293400001,15.00
2022-06-06,170428381482200001,248.00
2022-06-06,171030000763800001,-1.00
2022-06-06,180213012331300001,713.00
2022-06-06,180327043373200005,31.00
2022-06-06,180604114334600001,119.00
2022-06-06,180604114351700001,92.00
2022-06-06,180604114383000001,1275.00
2022-06-06,180704149959400001,49.00
2022-06-06,180706153232200002,204.00
2022-06-06,180706153232200003,226.00
2022-06-06,180706153232200005,96.00
2022-06-06,180920233009700325,-23.00
2022-06-06,190603577080600001,5.00
2022-06-06,190909745530500004,568.00
2022-06-06,199009170000000056,167.00
2022-06-06,200813226771700001,570.00
2022-06-06,200826241374700001,1.00
2022-06-06,201104060000000029,49.00
2022-06-06,201205090000000004,840.00
2022-06-06,201207090000000130,5.00
2022-06-06,210327509663500011,69.00
2022-06-06,211116153741172477,0.00
2022-06-06,220406222153830970,35.00
2022-06-07,2007121328749,9.00
2022-06-07,2007121328895,75.00
2022-06-07,2007121329180,454.00
2022-06-07,2007121329377,73.00
2022-06-07,2007121329379,0.00
2022-06-07,2007121329380,207.00
2022-06-07,2007121329381,178.00
2022-06-07,2007121331288,89.00
2022-06-07,2007121332656,10.00
2022-06-07,2007121332659,14.00
2022-06-07,2007121334813,14.00
2022-06-07,120620429994600001,0.00
2022-06-07,120620429994600002,0.00
2022-06-07,120620429994600013,0.00
2022-06-07,120620429994600026,0.00
2022-06-07,140224536726700000,0.00
2022-06-07,150203456119500001,1.00
2022-06-07,150930603566800001,-4.00
2022-06-07,151229506383600001,39.00
2022-06-07,151229527874800001,0.00
2022-06-07,160121610393900001,0.00
2022-06-07,160513343594000001,20.00
2022-06-07,160826685080700001,433.00
2022-06-07,170407678293400001,11.00
2022-06-07,170428381482200001,231.00
2022-06-07,171030000763800001,-1.00
2022-06-07,180213012331300001,669.00
2022-06-07,180327043373200005,42.00
2022-06-07,180604114334600001,86.00
2022-06-07,180604114351700001,88.00
2022-06-07,180604114383000001,1058.00
2022-06-07,180704149959400001,43.00
2022-06-07,180706153232200002,169.00
2022-06-07,180706153232200003,206.00
2022-06-07,180706153232200005,93.00
2022-06-07,180920233009700325,-35.00
2022-06-07,190603577080600001,13.00
2022-06-07,190909745530500004,560.00
2022-06-07,199009170000000056,154.00
2022-06-07,200813226771700001,561.00
2022-06-07,200826241374700001,1.00
2022-06-07,201104060000000029,45.00
2022-06-07,201205090000000004,781.00
2022-06-07,201207090000000130,5.00
2022-06-07,210327509663500011,69.00
2022-06-07,211116153741172477,0.00
2022-06-07,220406222153830970,32.00
2022-06-08,2007121328749,14.00
2022-06-08,2007121328895,50.00
2022-06-08,2007121329180,446.00
2022-06-08,2007121329377,-6.00
2022-06-08,2007121329379,0.00
2022-06-08,2007121329380,202.00
2022-06-08,2007121329381,175.00
2022-06-08,2007121331288,82.00
2022-06-08,2007121332656,11.00
2022-06-08,2007121332659,13.00
2022-06-08,2007121334813,12.00
2022-06-08,120620429994600001,0.00
2022-06-08,120620429994600002,0.00
2022-06-08,120620429994600013,0.00
2022-06-08,120620429994600026,0.00
2022-06-08,140224536726700000,20.00
2022-06-08,150203456119500001,1.00
2022-06-08,150930603566800001,88.00
2022-06-08,151229506383600001,36.00
2022-06-08,151229527874800001,0.00
2022-06-08,160121610393900001,0.00
2022-06-08,160513343594000001,20.00
2022-06-08,160826685080700001,417.00
2022-06-08,170407678293400001,9.00
2022-06-08,170428381482200001,220.00
2022-06-08,171030000763800001,-1.00
2022-06-08,180213012331300001,635.00
2022-06-08,180327043373200005,30.00
2022-06-08,180604114334600001,72.00
2022-06-08,180604114351700001,83.00
2022-06-08,180604114383000001,1011.00
2022-06-08,180704149959400001,51.00
2022-06-08,180706153232200002,140.00
2022-06-08,180706153232200003,192.00
2022-06-08,180706153232200005,89.00
2022-06-08,180920233009700325,-68.00
2022-06-08,190603577080600001,5.00
2022-06-08,190909745530500004,549.00
2022-06-08,199009170000000056,138.00
2022-06-08,200813226771700001,552.00
2022-06-08,200826241374700001,1.00
